Réseau;Station;Trafic;Correspondance_1;stop_name;coord;stop_lat;stop_lon
Métro;GARE DE LYON;36352115;1;GARE DE LYON;48.8436904326, 2.37328450012;48.843690432644884;2.3732845001199907
Métro;GARE DE LYON;36352115;1;GARE DE LYON;48.8437442543, 2.37362495567;48.843744254309904;2.3736249556721383
Métro;GARE DE LYON;36352115;1;GARE DE LYON;48.8438611626, 2.37339355276;48.84386116261596;2.373393552760404
Métro;GARE DE LYON;36352115;1;GARE DE LYON;48.8425303796, 2.37540785412;48.842530379578726;2.375407854118352
Métro;GARE DE LYON;36352115;1;GARE DE LYON;48.8436904326, 2.37328450012;48.843690432644884;2.3732845001199907
Métro;GARE DE LYON;36352115;1;GARE DE LYON;48.8437442543, 2.37362495567;48.843744254309904;2.3736249556721383
Métro;GARE DE LYON;36352115;1;GARE DE LYON;48.8437442543, 2.37362495567;48.843744254309904;2.3736249556721383
Métro;GARE DE LYON;36352115;1;GARE DE LYON;48.8436904326, 2.37328450012;48.843690432644884;2.3732845001199907
Métro;GARE DE LYON;36352115;1;GARE DE LYON;48.8439780622, 2.37318938238;48.843978062245924;2.3731893823763586
Métro;GARE DE LYON;36352115;1;GARE DE LYON;48.8436904326, 2.37328450012;48.843690432644884;2.3732845001199907
Métro;GARE DE LYON;36352115;1;GARE DE LYON;48.8438611626, 2.37339355276;48.84386116261596;2.373393552760404
Métro;GARE DE LYON;36352115;1;GARE DE LYON;48.8436904326, 2.37328450012;48.843690432644884;2.3732845001199907
Métro;GARE DE LYON;36352115;1;GARE DE LYON;48.8437442543, 2.37362495567;48.843744254309904;2.3736249556721383
Métro;GARE DE LYON;36352115;1;GARE DE LYON;48.8441039531, 2.37297160044;48.84410395312293;2.372971600444252
Métro;GARE DE LYON;36352115;1;GARE DE LYON;48.8436904326, 2.37328450012;48.843690432644884;2.3732845001199907
Métro;GARE DE LYON;36352115;1;GARE DE LYON;48.8425303796, 2.37540785412;48.842530379578726;2.375407854118352
Métro;GARE DE LYON;36352115;1;GARE DE LYON;48.8439780622, 2.37318938238;48.843978062245924;2.3731893823763586
Métro;GARE DE LYON;36352115;1;GARE DE LYON;48.8436904326, 2.37328450012;48.843690432644884;2.3732845001199907
